,job_title,salary,working_years,education,company,company_address,industry,is_public,employee_numbers,job_detail_url
0,数据分析师,18-30K,3-5年,本科,遥望网络,杭州 余杭区 仓前,互联网,已上市,100-499人,https://www.zhipin.com/job_detail/eb7eb8efad4ec1321HB43d-5GFA~.html
1,数据分析师,8-13K,1-3年,大专,紧商,杭州 萧山区 钱江世纪城,电子商务,不需要融资,100-499人,https://www.zhipin.com/job_detail/0d881b816ce0d8171HJ-0t28EVE~.html
2,数据分析专家,15-30K,3-5年,本科,贝贝集团,杭州 江干区 九堡,互联网,D轮及以上,1000-9999人,https://www.zhipin.com/job_detail/d436db106f10bc3e1XF40ti1GVo~.html
3,数据分析主管/经理,7-12K,1-3年,大专,浙江上佰,杭州 西湖区 古墩路,电子商务,未融资,500-999人,https://www.zhipin.com/job_detail/d89fa876493596171XJ82tq1GVI~.html
4,数据分析师,11-20K,3-5年,本科,e签宝,杭州 西湖区 文一路,企业服务,B轮,100-499人,https://www.zhipin.com/job_detail/1ef8a0ba836cbc7d1Hdz0ti9EFE~.html
5,数据分析师,20-35K,1-3年,本科,众安保险,杭州 西湖区 古荡,互联网,已上市,1000-9999人,https://www.zhipin.com/job_detail/7c37cba01a62a7a31XB82N-8E1M~.html
6,资深数据分析师,15-28K,3-5年,本科,伊电园,杭州 余杭区 仓前,生活服务,C轮,1000-9999人,https://www.zhipin.com/job_detail/46e3f5b19b92ccbf1HF63dq7GVs~.html
7,资深数据分析师,10-20K,3-5年,本科,亲宝宝,杭州 西湖区 西溪,互联网,C轮,100-499人,https://www.zhipin.com/job_detail/a0f8bf29ea8399f71nxy2d-_FFc~.html
8,数据分析师,15-20K,3-5年,本科,铜掌柜,杭州 西湖区 西溪,互联网,B轮,100-499人,https://www.zhipin.com/job_detail/a7e216a77e925d661HZz2dm1E1U~.html
9,AI数据分析专家,20-40K,经验不限,学历不限,华为,杭州 滨江区 长河,计算机软件,不需要融资,10000人以上,https://www.zhipin.com/job_detail/2ef2cf62519b93451nxy0ty-F1A~.html
10,药品数据分析,15-30K,经验不限,大专,杭州康策网络,杭州 余杭区 仓前,医疗健康,不需要融资,100-499人,https://www.zhipin.com/job_detail/24f724747b5956511Xx63tq_FVM~.html
11,数据分析专员,4-6K,1年以内,大专,杭州素本服饰有限公司,杭州 江干区 火车东站,电子商务,B轮,100-499人,https://www.zhipin.com/job_detail/5f190a634ac450c81HFz3tm5FlU~.html
12,数据分析师,25-30K,3-5年,本科,匡信科技,杭州 滨江区 滨江区政府,计算机软件,未融资,100-499人,https://www.zhipin.com/job_detail/9be04af09de609881nF-2t-1EVs~.html
13,数据分析师,10-15K·16薪,3-5年,本科,个推,杭州 西湖区 文一路,移动互联网,已上市,500-999人,https://www.zhipin.com/job_detail/66e93d10cfad04021nJ92tS0FVo~.html
14,数据分析专家-杭州-00960,15-30K,3-5年,硕士,同盾科技,杭州 余杭区 仓前,互联网,C轮,1000-9999人,https://www.zhipin.com/job_detail/9b54dad71192ae3c1Xd939u0FFc~.html
15,数据分析师,20-30K,1-3年,本科,阿里巴巴集团,杭州 余杭区 仓前,互联网,不需要融资,10000人以上,https://www.zhipin.com/job_detail/aa5e0f8c644d9d271XJ_3d-4FlY~.html
16,数据分析师,25-40K,3-5年,本科,vivo,杭州 余杭区 仓前,移动互联网,不需要融资,10000人以上,https://www.zhipin.com/job_detail/7cbca2714b4a46371XJ-0ti9EFc~.html
17,中高级数据分析师,8-15K,3-5年,本科,先进数通,杭州  ,计算机软件,已上市,1000-9999人,https://www.zhipin.com/job_detail/58b2705c31c250b01XJ93t21GFY~.html
18,数据分析师,8-15K,1-3年,本科,杭州中奥科技有限公司,杭州 下城区 朝晖,计算机软件,不需要融资,100-499人,https://www.zhipin.com/job_detail/d3f9a4567be6fcdb1XV-09S9GVc~.html
19,数据分析师,15-20K,5-10年,本科,城云科技,杭州 西湖区 黄龙,互联网,C轮,500-999人,https://www.zhipin.com/job_detail/dcc1bac7548b0ac11HF82tq-FVo~.html
20,高级数据分析师,11-18K,1-3年,本科,杭州有赞科技,杭州 西湖区 古荡,互联网,已上市,1000-9999人,https://www.zhipin.com/job_detail/c7968f1bd06eb7e91X163tu1ElY~.html
21,数据分析专家,20-30K,5-10年,本科,嘉云数据,杭州 西湖区 文三,移动互联网,C轮,500-999人,https://www.zhipin.com/job_detail/c7e8fed75df49f711HR-2NW_E1Y~.html
22,数据分析师,10-20K,5-10年,大专,吉利集团,杭州  ,汽车生产,已上市,10000人以上,https://www.zhipin.com/job_detail/5b2f1ae96c94aa681nF539u6FFQ~.html
23,数据分析师,15-25K,3-5年,本科,浙江天鹂科技网络,杭州 西湖区 西溪,互联网,不需要融资,100-499人,https://www.zhipin.com/job_detail/faad81c09dcad4b51HV42968GFo~.html
24,数据分析工程师,12-15K,1-3年,本科,雷数科技,杭州 余杭区 仓前,互联网,天使轮,20-99人,https://www.zhipin.com/job_detail/bfa59fc775380fd61X1_2N28EVM~.html
25,数据分析师,15-30K,1年以内,硕士,蚂蚁金服,杭州 西湖区 古荡,互联网,C轮,10000人以上,https://www.zhipin.com/job_detail/b5a7f5058f607ef51HFy0t64E1M~.html
26,资深数据分析师 (MJ000088),15-25K·15薪,3-5年,本科,政采云,杭州 西湖区 转塘,互联网,不需要融资,100-499人,https://www.zhipin.com/job_detail/c850976c713b5aa51Hd42d65GVY~.html
27,资深数据分析师,15-30K,3-5年,硕士,炜呈智能电力,杭州 滨江区 滨江区政府,互联网,不需要融资,20-99人,https://www.zhipin.com/job_detail/856f66de9fcc49ae1HJ-0tu4FVA~.html
28,数据分析师（供应链方向）JD,15-30K,3-5年,本科,新康众集团,杭州 余杭区 仓前,新零售,不需要融资,1000-9999人,https://www.zhipin.com/job_detail/5ba13664a7082e831HJ52du8EVc~.html
29,数据分析师,15-20K,1-3年,本科,云车金融,杭州 萧山区 钱江世纪城,互联网,不需要融资,1000-9999人,https://www.zhipin.com/job_detail/3b174bb6785993021XF82du-ElQ~.html
30,数据分析专家（经营分析）,8-13K,1-3年,本科,菜划算,杭州  ,新零售,B轮,100-499人,https://www.zhipin.com/job_detail/fd34a5e31d20497b1HB90tW8F1s~.html
31,数据分析师（金融数据方向）,12-24K,3-5年,本科,金科文化,杭州 西湖区 西溪,互联网,已上市,1000-9999人,https://www.zhipin.com/job_detail/a80e27f46a29deb81Hd92Ni5FFc~.html
32,数据分析师,11-17K,3-5年,本科,联保网络,杭州  ,移动互联网,A轮,20-99人,https://www.zhipin.com/job_detail/828c4edd1d98fae91Xd80ti-ElA~.html
33,数据分析,8-13K,1-3年,大专,杭州百放科技有限公司,杭州 西湖区 西溪,互联网,不需要融资,20-99人,https://www.zhipin.com/job_detail/aecc840bbcc831591Hd939y1FlQ~.html
34,BI数据分析师,25-45K,3-5年,本科,呆萝卜,杭州 拱墅区 大关,电子商务,B轮,1000-9999人,https://www.zhipin.com/job_detail/3ee3e61be3b68a5f1HBz2NS1E1Q~.html
35,数据分析经理,15-22K,3-5年,本科,垂衣,杭州 滨江区 长河,电子商务,A轮,100-499人,https://www.zhipin.com/job_detail/a4af3eda2cddf8341HBz09m7FFA~.html
36,数据分析师,12-24K,3-5年,本科,币港湾,杭州 江干区 四季青,互联网金融,不需要融资,100-499人,https://www.zhipin.com/job_detail/1fdea97cd52b63760XF_2tS0FA~~.html
37,商品数据分析,4-7K,经验不限,大专,凯蓝企业,杭州 江干区 景芳,生活服务,不需要融资,1000-9999人,https://www.zhipin.com/job_detail/7a49093eeddaee671XN-0960FVo~.html
38,数据分析师,25-35K,3-5年,本科,蚂蚁金服,杭州 西湖区 古荡,互联网,C轮,10000人以上,https://www.zhipin.com/job_detail/20099ae73ed2f3201Hd63dq5GFI~.html
39,数据分析,6-8K,3-5年,本科,杭州盛锋,杭州 拱墅区 湖墅南路,其他专业服务,不需要融资,20-99人,https://www.zhipin.com/job_detail/c4cdd0bf70745f371HB529q_FVM~.html
40,数据分析师,10-20K,1-3年,硕士,杭州心景科技有限公司,杭州 滨江区 长河,互联网,天使轮,20-99人,https://www.zhipin.com/job_detail/cd5144d2a43b3acd1XV539W1EFM~.html
41,数据分析师（游戏）,12-24K,3-5年,本科,金科文化,杭州 西湖区 西溪,互联网,已上市,1000-9999人,https://www.zhipin.com/job_detail/e9331025187893c61Hd92Ni8GFM~.html
42,数据分析高P职位,30-60K,5-10年,硕士,菜鸟网络,杭州 西湖区 西溪,互联网,B轮,1000-9999人,https://www.zhipin.com/job_detail/7e64bd90b7e1a1471XV43NS7E1c~.html
43,数据分析,20-40K,3-5年,本科,菲助科技,杭州 滨江区 长河,互联网,C轮,100-499人,https://www.zhipin.com/job_detail/d513531d3e2b13891Xx709m0FFE~.html
44,高级数据分析师,20-30K,5-10年,本科,闪银奇异,杭州 江干区 白杨,移动互联网,D轮及以上,1000-9999人,https://www.zhipin.com/job_detail/6997121928c17f8a1HB-3d6-FVo~.html
45,数据分析师,11-18K,5-10年,本科,城云科技,杭州 西湖区 黄龙,互联网,C轮,500-999人,https://www.zhipin.com/job_detail/1e36a39ebbc228111HV829S1FlI~.html
46,资深数据分析师,20-30K,3-5年,本科,贝贝集团,杭州 江干区 九堡,互联网,D轮及以上,1000-9999人,https://www.zhipin.com/job_detail/37290a94a55b38ae1XB_2t-0Elo~.html
