,job_title,salary,working_years,education,company,company_address,industry,is_public,employee_numbers,job_detail_url
12,数据分析师 (MJ000021),15k-25k,3-5年,本科,AKULAKU,深圳 南山区 科技园,互联网金融,D轮及以上,1000-9999人,https://www.zhipin.com/job_detail/5aa9fd4e74726de01HB60tS4FVE~.html
125,数据分析师／风控反欺诈／海外消费金融,15k-30k,3-5年,本科,AKULAKU,深圳 南山区 科技园,互联网金融,D轮及以上,1000-9999人,https://www.zhipin.com/job_detail/6b87293c5be52b3a1HB60tS_F1o~.html
163,数据分析师/电商/消费金融/2-3年工作经验,10k-20k,1-3年,本科,AKULAKU,深圳 南山区 南山中心,互联网金融,D轮及以上,1000-9999人,https://www.zhipin.com/job_detail/4ba8cb0ac384e4561nZ72di8E1A~.html
60,数据分析师,8k-16k,3-5年,本科,BDS大数易,深圳 福田区 华强北,数据服务,天使轮,0-20人,https://www.zhipin.com/job_detail/5398429ad4f2013e1XF-2d-0FFE~.html
143,数据分析师（实习生）,3k-5k,应届生,本科,BDS大数易,深圳 福田区 华强北,数据服务,天使轮,0-20人,https://www.zhipin.com/job_detail/a61cf4984b37f4461XF-2d-6E1c~.html
126,数据分析师（Power BI）,9k-14k,3-5年,本科,Darry Ring,深圳 南山区 科技园,互联网,未融资,1000-9999人,https://www.zhipin.com/job_detail/a58e7a9210210de01XN63tm8F1I~.html
62,数据分析师,15k-30k,1-3年,硕士,iPIN,深圳 南山区 科技园,互联网,B轮,100-499人,https://www.zhipin.com/job_detail/d726a08a42f96cf81Xd42t-1EVI~.html
87,数据分析师,8k-13k,1-3年,本科,JIGUANG极光,深圳 南山区 南头,数据服务,已上市,500-999人,https://www.zhipin.com/job_detail/665b6a1fb093a4ec1HF-09-8GVA~.html
230,数据分析师,4-6K,1年以内,大专,LocalGravity,深圳 福田区 沙头,咨询,A轮,100-499人,https://www.zhipin.com/job_detail/48b5a4d82641db371HF_0tq6GVA~.html
4,高级数据分析师,25k-35k,3-5年,本科,OPPO,深圳 南山区 深圳湾,互联网,不需要融资,10000人以上,https://www.zhipin.com/job_detail/586b1b91af1ee2e21X1-39S5Flc~.html
11,数据分析师,18k-25k,1年以内,本科,OPPO,深圳 南山区 深圳湾,互联网,不需要融资,10000人以上,https://www.zhipin.com/job_detail/19089a21ad5d39b01HFy2d-_EVQ~.html
14,业务数据分析师,20k-40k,3-5年,本科,OPPO,深圳 南山区 深圳湾,互联网,不需要融资,10000人以上,https://www.zhipin.com/job_detail/d8f67dcf5e86fd961HZ93Ny5FVA~.html
46,数据分析师,15k-30k,3-5年,本科,OPPO,深圳 南山区 深圳湾,互联网,不需要融资,10000人以上,https://www.zhipin.com/job_detail/3b8c743288e2c4f51HJ80t69FlA~.html
90,高级数据分析师,30k-60k,5-10年,本科,OPPO,深圳 福田区 车公庙,互联网,不需要融资,10000人以上,https://www.zhipin.com/job_detail/089be970f1d6cd101HV-29i_F1Q~.html
109,数据分析工程师,20k-40k,3-5年,本科,OPPO,深圳 南山区 深圳湾,互联网,不需要融资,10000人以上,https://www.zhipin.com/job_detail/35552f6d00a9610d1XZ82du9EFY~.html
119,搜索广告-高级数据分析师,20k-40k,3-5年,本科,OPPO,深圳 南山区 深圳湾,互联网,不需要融资,10000人以上,https://www.zhipin.com/job_detail/d87fd3b9e049aa371Hdy2dy7GFQ~.html
123,广告商业化数据分析师,20k-40k,经验不限,本科,OPPO,深圳 南山区 深圳湾,互联网,不需要融资,10000人以上,https://www.zhipin.com/job_detail/300454934cac9d001HR53dW0F1E~.html
135,高级数据分析师（海外业务）,30k-60k,3-5年,本科,OPPO,深圳 福田区 车公庙,互联网,不需要融资,10000人以上,https://www.zhipin.com/job_detail/572451cf38d129511HZ72dq6GVo~.html
152,高级数据分析工程师,30k-60k,3-5年,本科,OPPO,深圳 福田区 石厦,互联网,不需要融资,10000人以上,https://www.zhipin.com/job_detail/41c5b04726a2be0e1HV729S7FFc~.html
153,联盟广告数据分析工程师,20k-40k,3-5年,本科,OPPO,深圳 南山区 深圳湾,互联网,不需要融资,10000人以上,https://www.zhipin.com/job_detail/087cc589c10ff98d1HJ82N25GVc~.html
160,高级数据分析师,20k-40k,3-5年,本科,OPPO,深圳 南山区 深圳湾,互联网,不需要融资,10000人以上,https://www.zhipin.com/job_detail/a280c5ff9bd987011HB-2N21GVQ~.html
185,数据分析师1285,10-20K,3-5年,本科,OPPO,深圳 福田区 石厦,互联网,不需要融资,10000人以上,https://www.zhipin.com/job_detail/88735fd75cfb11301HJ-2Nu6F1s~.html
186,高级数据分析工程师,15-30K,3-5年,本科,OPPO,深圳 南山区 南油,互联网,不需要融资,10000人以上,https://www.zhipin.com/job_detail/9aea1baae152db0a1nZ_09W_E1U~.html
199,金融业务数据分析师,15-30K,1-3年,本科,OPPO,深圳 南山区 深圳湾,互联网,不需要融资,10000人以上,https://www.zhipin.com/job_detail/11ac695ba7348e781XB92dm7EVE~.html
200,数据分析师,40-60K,经验不限,本科,OPPO,深圳 南山区 深圳湾,互联网,不需要融资,10000人以上,https://www.zhipin.com/job_detail/fa7273c7660b39331HFz39-1EVA~.html
208,高级广告数据分析师,20-40K,3-5年,本科,OPPO,深圳 南山区 深圳湾,互联网,不需要融资,10000人以上,https://www.zhipin.com/job_detail/55cad5b00d96c96d1HJ73969E1o~.html
210,高级数据分析工程师,20-30K,3-5年,本科,OPPO,深圳 南山区 南油,互联网,不需要融资,10000人以上,https://www.zhipin.com/job_detail/cee0ca0cb1b111111XF_09y9FVc~.html
213,高级广告数据分析师,20-40K,3-5年,本科,OPPO,深圳 南山区 南油,互联网,不需要融资,10000人以上,https://www.zhipin.com/job_detail/17d46b310832737e1HJ82d64FFY~.html
214,数据分析师,30-60K,经验不限,本科,OPPO,深圳 南山区 深圳湾,互联网,不需要融资,10000人以上,https://www.zhipin.com/job_detail/296b5ff4954b93ab1XJ_3Ni8FFo~.html
5,数据分析师,12k-23k,3-5年,本科,PKFARE比客,深圳 南山区 科技园,旅游,A轮,100-499人,https://www.zhipin.com/job_detail/a530fc610d4c6d621n182tu5GVQ~.html
36,数据分析师,14k-25k,经验不限,本科,PKFARE比客,深圳 南山区 科技园,旅游,A轮,100-499人,https://www.zhipin.com/job_detail/78bd77e7e2c7fac81HV42dS4F1U~.html
100,商业数据分析师,10k-20k,3-5年,本科,PKFARE比客,深圳 南山区 科技园,旅游,A轮,100-499人,https://www.zhipin.com/job_detail/835696ec666ee5e00XJ_2dq9Ew~~.html
107,数据分析师（实习生）,4k-5k,应届生,硕士,PKFARE比客,深圳 南山区 科技园,旅游,A轮,100-499人,https://www.zhipin.com/job_detail/205a47afb17985711HR-2Ny-FVA~.html
141,管培生（数据分析方向）,8k-12k,1年以内,本科,PKFARE比客,深圳 南山区 科技园,旅游,A轮,100-499人,https://www.zhipin.com/job_detail/0d80a3c3ed3e97561Hd_3t6-Elo~.html
206,数据分析师,15-20K,3-5年,本科,RDC,深圳 南山区 科技园,互联网,A轮,20-99人,https://www.zhipin.com/job_detail/35f85870a94b20ec1XJ53Ny8ElM~.html
88,BI 数据分析师 (Salesforce 方向),10k-20k,1-3年,本科,Shopee,深圳 南山区 科技园,电子商务,已上市,1000-9999人,https://www.zhipin.com/job_detail/2f25528f9ab3df7b1XJ429W7FFE~.html
98,BI 数据分析师 - Data Analyst,6k-12k,经验不限,本科,Shopee,深圳 南山区 科技园,电子商务,已上市,1000-9999人,https://www.zhipin.com/job_detail/03828a0346533db91XJ429u5EFs~.html
103,BI 资深数据分析师 - Senior Data Analyst,10k-20k,3-5年,学历不限,Shopee,深圳 南山区 科技园,电子商务,已上市,1000-9999人,https://www.zhipin.com/job_detail/e93986946be8dc781XJ429W9FlA~.html
145,数据产品经理（电商数据分析方向）,20k-40k·15薪,5-10年,本科,Shopee,深圳 南山区 科技园,电子商务,已上市,1000-9999人,https://www.zhipin.com/job_detail/afc2ffd17a3ca64d1XJ70tq-F1c~.html
108,高级数据分析师,10k-15k,1-3年,大专,Truemetrics,深圳 南山区 南头,互联网,不需要融资,20-99人,https://www.zhipin.com/job_detail/3585d3a9f03030f01HB909i4E1U~.html
104,数据分析专员（女装）,6k-8k,1-3年,大专,Ugoccam,深圳 龙岗区 坂田,电子商务,已上市,100-499人,https://www.zhipin.com/job_detail/e417532e5b2ff3911HF_29i8EVI~.html
3,数据分析经理,30k-50k,5-10年,本科,vivo,深圳 福田区 华强南,移动互联网,不需要融资,10000人以上,https://www.zhipin.com/job_detail/c6bdc3ebfc1162d41n152t-1F1o~.html
22,商业数据分析师,30k-60k,3-5年,本科,vivo,深圳 宝安区 新安,移动互联网,不需要融资,10000人以上,https://www.zhipin.com/job_detail/21e14ef8cf94a3981HZ939W_EVI~.html
29,高级数据分析师,40k-45k,3-5年,本科,vivo,深圳 福田区 梅林,移动互联网,不需要融资,10000人以上,https://www.zhipin.com/job_detail/a809aa6cb0a37ca61nZ_2N68E1U~.html
30,安全数据分析师,25k-50k,5-10年,本科,vivo,深圳 宝安区 宝安中心,移动互联网,不需要融资,10000人以上,https://www.zhipin.com/job_detail/16554570b71bdc341Hd_3dW8GVs~.html
49,数据分析师,20k-40k,经验不限,学历不限,vivo,深圳 福田区 梅林,移动互联网,不需要融资,10000人以上,https://www.zhipin.com/job_detail/15b42cdba7ac71421XZ73NW4EVQ~.html
52,数据分析师,15k-25k,3-5年,本科,vivo,深圳 福田区 梅林,移动互联网,不需要融资,10000人以上,https://www.zhipin.com/job_detail/697dc8163995eeeb1n1y3Ny-GFc~.html
54,商业化数据分析师,30k-50k,3-5年,本科,vivo,深圳 福田区 华强南,移动互联网,不需要融资,10000人以上,https://www.zhipin.com/job_detail/00da2e1d55a9a5801XB53tq6ElU~.html
55,数据分析师,25k-50k,3-5年,本科,vivo,深圳 福田区 梅林,移动互联网,不需要融资,10000人以上,https://www.zhipin.com/job_detail/ffea43d3aa2a3d4d1n1-2Ni8F1E~.html
