,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,岗位id,城市,公司全名,福利待遇,公司规模,公司行业,融资阶段,工作地点,学历要求,工作类型,发布时间,职位名称,薪资,工作年限
1,4812837,杭州,杭州大搜车汽车服务有限公司,"['技能培训', 'Geek', '开放', '扁平管理']",2000人以上,"移动互联网,O2O",D轮及以上,余杭区,本科,开发|测试|运维类,1天前发布,数据分析师 08-02-29,10k-20k,3-5年
2,5936045,杭州,杭州脸脸会网络技术有限公司,"['股票期权', '五险一金', '节日礼物', '岗位晋升']",150-500人,"移动互联网,O2O",A轮,余杭区,大专,产品|需求|项目类,11:16发布,数据分析师,8k-10k,3-5年
3,5937522,杭州,杭州恩牛网络技术有限公司,"['节日礼物', '专项奖金', '带薪年假', '扁平管理']",500-2000人,"金融,数据服务",上市公司,西湖区,本科,产品|需求|项目类,1天前发布,数据分析师,11k-22k,1-3年
4,5203054,杭州,网易（杭州）有限公司,"['节日礼物', '技能培训', '免费班车', '带薪年假']",2000人以上,"电子商务,移动互联网",上市公司,滨江区,本科,产品|需求|项目类,1天前发布,资深数据分析师,20k-40k,5-10年
5,5940515,杭州,浙江盘石信息技术股份有限公司,"['节日礼物', '股票期权', '带薪年假', '岗位晋升']",2000人以上,"移动互联网,广告营销",上市公司,拱墅区,大专,产品|需求|项目类,10:07发布,数据分析,5k-8k,1-3年
6,5929512,杭州,杭州颉码能源科技有限公司,[],15-50人,"移动互联网,其他",A轮,滨江区,本科,产品|需求|项目类,2天前发布,数据分析,10k-15k,1-3年
7,5934445,杭州,北京东方国信科技股份有限公司,"['大数据软件', '技能培训', '节日礼物', '年底双薪']",2000人以上,数据服务,上市公司,西湖区,本科,产品|需求|项目类,1天前发布,数据分析师,10k-20k,不限
8,5944103,杭州,杭州盛锋营销策划有限公司,[],50-150人,数据服务,未融资,拱墅区,本科,开发|测试|运维类,16:55发布,商业数据分析,6k-8k,3-5年
9,5931608,杭州,微贷（杭州）金融信息服务有限公司,"['绩效奖金', '岗位晋升', '年度旅游', '定期体检']",2000人以上,金融,上市公司,江干区,不限,开发|测试|运维类,2天前发布,系统数据分析(J10992),15k-25k,不限
10,5899330,杭州,厦门美柚信息科技有限公司,"['绩效奖金', '股票期权', '年底双薪', '专项奖金']",500-2000人,移动互联网,D轮及以上,余杭区,本科,产品|需求|项目类,09:14发布,数据分析（产品方向）,8k-15k,不限
11,4467010,杭州,杭州嘉云数据科技有限公司,"['海量大数据', '世界级产品', 'AI', '智能供应链']",150-500人,"电子商务,移动互联网",C轮,西湖区,本科,产品|需求|项目类,18:55发布,数据分析师（BI）,8k-15k,1-3年
12,5840481,杭州,格上出行服务有限公司,[],500-2000人,"移动互联网,企业服务",不需要融资,萧山区,大专,产品|需求|项目类,16:37发布,数据分析师,4k-6k,不限
13,4746664,杭州,浙江霖梓控股有限公司,"['股票期权', '带薪年假', '弹性工作', '交通补助']",150-500人,"移动互联网,金融",B轮,滨江区,本科,产品|需求|项目类,15:43发布,数据分析师,8k-15k,3-5年
14,2382205,杭州,浙江森马电子商务有限公司,"['节日礼物', '技能培训', '绩效奖金', '年度旅游']",500-2000人,"移动互联网,电子商务",上市公司,西湖区,本科,产品|需求|项目类,09:45发布,数据分析师,8k-12k,1-3年
15,5458590,杭州,浙江创邻科技有限公司,"['年底双薪', '扁平管理', '五险一金', '弹性工作']",15-50人,"企业服务,数据服务",A轮,西湖区,本科,产品|需求|项目类,15:56发布,数据分析师,8k-16k,不限
16,4792322,杭州,杭州大搜车汽车服务有限公司,"['技能培训', 'Geek', '开放', '扁平管理']",2000人以上,"移动互联网,O2O",D轮及以上,余杭区,本科,开发|测试|运维类,1天前发布,高级数据分析师 08-02-28,15k-30k,3-5年
17,5893304,杭州,杭州微拍堂文化创意有限公司,"['岗位晋升', '年度旅游', '年底双薪', '午餐补助']",150-500人,移动互联网,A轮,西湖区,大专,开发|测试|运维类,13:58发布,数据分析师,15k-30k,3-5年
18,3045803,杭州,杭州观数信息科技有限公司,"['股票期权', '绩效奖金', '带薪年假', '弹性工作']",50-150人,"企业服务,数据服务",A轮,余杭区,本科,产品|需求|项目类,09:26发布,数据分析师,12k-24k,3-5年
19,4414826,杭州,绿漫科技有限公司,"['期权激励', '绩效奖金', '团队活动', '年度旅游']",50-150人,移动互联网,不需要融资,西湖区,本科,产品|需求|项目类,09:17发布,数据分析师,14k-24k,3-5年
20,5288845,杭州,杭州智屏电子商务有限公司,"['股票期权', '年度奖金', '五险一金', '扁平管理']",50-150人,电子商务,不需要融资,余杭区,本科,产品|需求|项目类,2天前发布,数据分析,10k-20k,3-5年
21,4910076,杭州,杭州微易信息科技有限公司,"['节日礼物', '带薪年假', '年度旅游', '定期体检']",150-500人,"移动互联网,金融",B轮,西湖区,本科,开发|测试|运维类,1天前发布,数据分析师,8k-15k,1-3年
22,5719370,杭州,杭州好一库网络科技有限公司,[],150-500人,生活服务,B轮,余杭区,本科,产品|需求|项目类,1天前发布,数据分析师,12k-24k,不限
23,5804561,杭州,浙江网新恩普软件有限公司,"['年终分红', '绩效奖金', '年底双薪', '五险一金']",500-2000人,"移动互联网 ,金融",上市公司,西湖区,大专,开发|测试|运维类,1天前发布,大数据分析师,15k-20k,3-5年
24,5786560,杭州,上海诺誉投资管理有限公司,[],150-500人,"移动互联网,金融",B轮,西湖区,本科,产品|需求|项目类,3天前发布,数据分析,20k-30k,3-5年
25,5532121,杭州,杭州红花朵朵网络技术有限公司,"['年底双薪', '股票期权', '岗位晋升', '扁平管理']",50-150人,"移动互联网,教育",A轮,西湖区,本科,开发|测试|运维类,3天前发布,数据分析,12k-20k,3-5年
26,4571386,杭州,浙江一片林网络科技有限公司,"['专项奖金', '绩效奖金', '岗位晋升', '年度旅游']",50-150人,"移动互联网,电子商务",未融资,西湖区,本科,开发|测试|运维类,3天前发布,数据分析师,4k-8k,不限
27,4527714,杭州,杭州有盾网络科技有限公司,"['带薪年假', '岗位晋升', '五险一金', '定期体检']",50-150人,"移动互联网,数据服务",不需要融资,滨江区,本科,开发|测试|运维类,16:41发布,数据建模专家/数据分析师,15k-30k,3-5年
28,5709378,杭州,杭州尚尚签网络科技有限公司,"['顶级风投融资', '靠谱团队', '结果导向', '弹性工作']",150-500人,"移动互联网,企业服务",C轮,西湖区,本科,产品|需求|项目类,3天前发布,数据分析师,15k-25k,1-3年
29,5872258,杭州,云集共享科技有限公司,"['绩效奖金', '股票期权', '五险一金', '午餐补助']",500-2000人,"电子商务,移动互联网",上市公司,萧山区,不限,开发|测试|运维类,3天前发布,00680-数据分析,10k-20k,3-5年
30,3973887,杭州,同盾科技有限公司,"['技能培训', '股票期权', '绩效奖金', '岗位晋升']",500-2000人,"信息安全,数据服务",C轮,余杭区,本科,开发|测试|运维类,15:00发布,数据分析师-杭州-00400,10k-20k,3-5年
31,5937449,杭州,杭州大搜车汽车服务有限公司,"['技能培训', 'Geek', '开放', '扁平管理']",2000人以上,"移动互联网,O2O",D轮及以上,余杭区,本科,产品|需求|项目类,1天前发布,资深数据分析师03-06-153,15k-25k,3-5年
32,5767142,杭州,杭州微拍堂文化创意有限公司,"['岗位晋升', '年度旅游', '年底双薪', '午餐补助']",150-500人,移动互联网,A轮,西湖区,大专,产品|需求|项目类,11:30发布,数据分析师,15k-25k,3-5年
33,5683650,杭州,杭州观数信息科技有限公司,"['股票期权', '绩效奖金', '带薪年假', '弹性工作']",50-150人,"企业服务,数据服务",A轮,余杭区,本科,开发|测试|运维类,09:26发布,解决方案顾问/数据分析师,10k-20k,3-5年
34,4265476,杭州,杭州光云科技股份有限公司,"['绩效奖金', '五险一金', '节日礼物', '定期体检']",500-2000人,"电子商务,数据服务",不需要融资,滨江区,本科,开发|测试|运维类,2019-05-12,数据分析师,15k-25k,3-5年
35,5887573,杭州,杭州微众电子商务有限公司,[],500-2000人,"移动互联网,电子商务",不需要融资,下沙,本科,产品|需求|项目类,2019-05-09,数据分析师,15k-30k,5-10年
36,5374355,杭州,上海依图信息技术有限公司,"['技能培训', '带薪年假', '绩效奖金', '扁平管理']",150-500人,数据服务,C轮,西湖区,本科,产品|需求|项目类,2019-04-26,数据分析师 (MJ000634),8k-16k,1-3年
37,5738476,杭州,杭州安恒信息技术股份有限公司,"['年终分红', '股票期权', '绩效奖金', '五险一金']",500-2000人,"信息安全 ,数据服务",D轮及以上,滨江区,本科,产品|需求|项目类,18:36发布,数据分析工程师,13k-20k,1-3年
38,4602329,杭州,郑州点读电子科技有限公司,"['氛围好', '充满童趣', '带薪年假', '岗位晋升']",150-500人,"移动互联网,电子商务",A轮,滨江区,本科,开发|测试|运维类,11:46发布,数据分析工程师,13k-25k,3-5年
39,4309857,杭州,杭州嘉云数据科技有限公司,"['海量大数据', '世界级产品', 'AI', '智能供应链']",150-500人,"电子商务,移动互联网",C轮,西湖区,本科,产品|需求|项目类,18:55发布,数据分析专家,15k-25k,3-5年
40,5793402,杭州,同盾科技有限公司,"['技能培训', '股票期权', '绩效奖金', '岗位晋升']",500-2000人,"信息安全,数据服务",C轮,余杭区,本科,开发|测试|运维类,15:00发布,资深数据分析顾问-01508,10k-20k,3-5年
41,4364061,杭州,杭州点望科技有限公司,"['畅想姨妈假', '全额公积金', '全额产假工资', '专业育儿团队']",150-500人,"移动互联网,社交网络",C轮,西湖区,本科,开发|测试|运维类,09:46发布,资深数据分析,15k-25k,3-5年
42,5908425,杭州,上海婚家婴会展服务有限公司成都分公司,"['技能培训', '领导好', '美女多', '帅哥多']",500-2000人,其他,不需要融资,下城区,本科,开发|测试|运维类,09:37发布,资深数据分析师,20k-35k,3-5年
43,5673903,杭州,杭州多准数据技术有限公司,"['开放式办公', '扁平管理', '带薪假期', '弹性工作时间']",50-150人,"数据服务,广告营销",A轮,西湖区,本科,市场|商务类,18:02发布,数据分析专家,25k-50k,5-10年
44,5399762,杭州,杭州有赞科技有限公司,"['工程师氛围', '弹性工作', '扁平管理', '上班不打卡']",2000人以上,"移动互联网,企业服务",上市公司,西湖区,本科,开发|测试|运维类,09:43发布,资深数据分析师,18k-32k,3-5年
45,5344632,杭州,维沃移动通信有限公司,"['年终分红', '带薪年假', '年度旅游', '岗位晋升']",2000人以上,移动互联网,未融资,西湖区,本科,运营|编辑|客服类,15:20发布,数据分析助理,4k-7k,1-3年
46,5673904,杭州,杭州多准数据技术有限公司,"['开放式办公', '扁平管理', '带薪假期', '弹性工作时间']",50-150人,"数据服务,广告营销",A轮,西湖区,本科,市场|商务类,18:02发布,资深数据分析师,15k-25k,3-5年
47,4910227,杭州,杭州微易信息科技有限公司,"['节日礼物', '带薪年假', '年度旅游', '定期体检']",150-500人,"移动互联网,金融",B轮,西湖区,本科,开发|测试|运维类,1天前发布,资深数据分析师 （3年以上偏业务方向的BI经验）,13k-25k,3-5年
48,5533108,杭州,国铁吉讯科技有限公司,"['技术大牛', '领导nice', '帅哥美女', '环境超棒']",150-500人,移动互联网,不需要融资,滨江区,本科,开发|测试|运维类,2019-05-10,数据分析工程师,15k-25k,3-5年
49,4915912,杭州,同盾科技有限公司,"['技能培训', '股票期权', '绩效奖金', '岗位晋升']",500-2000人,"信息安全,数据服务",C轮,余杭区,硕士,产品|需求|项目类,15:00发布,数据分析专家-杭州-00960,15k-30k,3-5年
50,5756358,杭州,广州哆啦科技有限公司,"['六险一金', '不打卡', '姨妈假', '扁平管理']",2000人以上,"电子商务,移动互联网",C轮,西湖区,本科,开发|测试|运维类,14:54发布,资深数据分析师 - 杭州,25k-40k,5-10年
51,5036694,杭州,云集共享科技有限公司,"['绩效奖金', '股票期权', '五险一金', '午餐补助']",500-2000人,"电子商务,移动互联网",上市公司,萧山区,本科,开发|测试|运维类,1天前发布,00037-资深数据分析师/数据分析专家,20k-40k,5-10年
52,5703475,杭州,杭州微众电子商务有限公司,[],500-2000人,"移动互联网,电子商务",不需要融资,下沙,本科,产品|需求|项目类,2019-05-09,数据分析经理,15k-20k,5-10年
