,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,岗位id,城市,公司全名,福利待遇,公司规模,公司行业,融资阶段,工作地点,学历要求,工作类型,发布时间,职位名称,薪资,工作年限
1,5696075,深圳,北京字节跳动科技有限公司,"['扁平管理', '弹性工作', '大厨定制三餐', '就近租房补贴']",2000人以上,"移动互联网,数据服务",C轮,宝安区,本科,产品|需求|项目类,1天前发布,数据分析师,15k-30k,1-3年
2,5919324,深圳,深圳市新国都股份有限公司,"['绩效奖金', '股票期权', '年底双薪', '专项奖金']",2000人以上,"金融,硬件",上市公司,南山区,本科,产品|需求|项目类,3天前发布,数据分析（风控方向）,7k-12k,1-3年
3,5670374,深圳,深圳市超级猩猩健身管理有限公司,"['股票期权', '岗位晋升', '扁平管理', '五险一金']",150-500人,移动互联网,D轮及以上,南山区,本科,产品|需求|项目类,3天前发布,数据分析师,10k-20k,3-5年
4,5906310,深圳,深圳市大疆创新科技有限公司,"['朝阳行业', '丰厚薪资待遇', '年终发车', '扁平管理']",2000人以上,"移动互联网,硬件",未融资,南山区,本科,产品|需求|项目类,3天前发布,数据分析师,12k-20k,3-5年
5,5921898,深圳,深圳闪电修网络科技有限公司,"['绩效奖金', '前景行业', '年轻团队']",50-150人,"移动互联网,O2O",A轮,福田区,本科,产品|需求|项目类,1天前发布,数据分析专员,6k-12k,1-3年
6,5920111,深圳,深圳市盛达瑞智能科技有限公司,"['绩效奖金', '带薪年假', '五险一金', '年终奖金']",150-500人,"移动互联网,区块链",不需要融资,南山区,本科,开发|测试|运维类,3天前发布,数据分析主管,10k-20k,3-5年
7,5819677,深圳,深圳找份工作科技有限公司,"['年底双薪', '带薪年假', '扁平管理', '领导好']",15-50人,"移动互联网,招聘",天使轮,南山区,本科,开发|测试|运维类,2019-05-09,数据分析实习生,3k-5k,应届毕业生
8,5819841,深圳,乐格商业咨询（深圳）有限公司,"['节日礼物', '技能培训', '职业发展预期', '岗位晋升']",150-500人,"企业服务,数据服务",A轮,福田区,大专,产品|需求|项目类,2019-05-07,初级数据分析师,4k-5k,1年以下
9,5918531,深圳,武汉佰钧成技术有限责任公司,"['带薪年假', '计算机软件', '管理规范', '定期体检']",2000人以上,移动互联网,不需要融资,南山区,大专,产品|需求|项目类,1天前发布,小游戏数据分析专员,7k-8k,不限
10,5921782,深圳,北京燕文物流有限公司深圳分公司,[],500-2000人,"电子商务,企业服务",未融资,宝安区,本科,产品|需求|项目类,2天前发布,数据分析专员,5k-6k,1年以下
11,5579971,深圳,上海陆家嘴国际金融资产交易市场股份有限公司,"['年底双薪', '专项奖金', '股票期权', '绩效奖金']",2000人以上,金融,B轮,福田区,本科,市场|商务类,00:00发布,25212E-数据分析岗,10k-15k,3-5年
12,5785645,深圳,中国平安财产保险股份有限公司,"['绩效奖金 ', '五险一金 ', '带薪年假 ', '年度旅游 ']",2000人以上,"移动互联网,金融",上市公司,福田区,本科,综合职能|高级管理,00:00发布,032281-数据分析岗,11k-20k,1-3年
13,5409676,深圳,平安科技（深圳）有限公司,"['六险一金', '扁平化管理', '丰厚年终', '丰富技术交流']",2000人以上,金融,不需要融资,南山区,本科,开发|测试|运维类,00:00发布,11124Z-数据分析工程师-云技术服务,20k-40k,3-5年
14,5545318,深圳,深圳小步网络科技有限公司,"['股票期权', '定期体检', '下午茶', '年度旅游']",150-500人,移动互联网,B轮,宝安区,本科,产品|需求|项目类,1天前发布,数据分析师,20k-40k,3-5年
15,5430691,深圳,武汉市追忆那年网络科技有限公司,"['股票期权', '交通补助', '扁平管理', '领导好']",50-150人,"移动互联网,社交网络",B轮,南山区,本科,产品|需求|项目类,1天前发布,数据分析师,15k-30k,3-5年
16,5550043,深圳,北京字节跳动科技有限公司,"['扁平管理', '弹性工作', '大厨定制三餐', '就近租房补贴']",2000人以上,"移动互联网,数据服务",C轮,南山区,本科,产品|需求|项目类,3天前发布,数据分析师,20k-40k,3-5年
17,5882939,深圳,深圳市大疆创新科技有限公司,"['朝阳行业', '丰厚薪资待遇', '年终发车', '扁平管理']",2000人以上,"移动互联网,硬件",未融资,南山区,本科,产品|需求|项目类,3天前发布,数据分析（备件方向）,12k-20k,1-3年
18,5798240,深圳,深圳蓝贝科技有限公司,"['股票期权', '绩效奖金', '岗位晋升', '年度旅游']",500-2000人,"零售贸易,移动互联网",C轮,南山区,本科,产品|需求|项目类,3天前发布,数据分析,12k-20k,3-5年
19,5645002,深圳,深圳市和讯华谷信息技术有限公司,"['五险一金', '文体活动', '团建旅游', '美味晚餐']",500-2000人,"移动互联网,数据服务",上市公司,南山区,本科,产品|需求|项目类,1天前发布,数据分析师,9k-15k,1-3年
20,5742734,深圳,深圳市人人聚财金融信息服务有限公司,"['年底双薪', '节日礼物', '年度旅游', '岗位晋升']",2000人以上,金融,A轮,南山区,本科,产品|需求|项目类,3天前发布,数据分析岗,8k-15k,1-3年
21,5728286,深圳,海南新浪爱问普惠科技有限公司,"['午餐补助', '通讯津贴', '带薪年假', '交通补助']",500-2000人,金融,未融资,南山区,本科,产品|需求|项目类,3天前发布,数据分析,15k-20k,3-5年
22,5733985,深圳,深圳前海达飞金融服务有限公司,"['年底双薪', '节日礼物', '技能培训', '年度旅游']",500-2000人,金融,D轮及以上,福田区,本科,金融类,3天前发布,数据分析师（评分卡）,12k-20k,3-5年
23,5871074,深圳,深圳市瑞宝麟财富投资管理有限公司,"['带薪年假', '节日礼物', '领导好', '弹性工作']",2000人以上,金融,不需要融资,南山区,本科,开发|测试|运维类,3天前发布,数据分析师,10k-15k,1-3年
24,5783436,深圳,鹏元征信有限公司,"['节日礼物', '绩效奖金', '年度旅游', '岗位晋升']",150-500人,"金融,数据服务",不需要融资,福田区,本科,产品|需求|项目类,3天前发布,数据分析师（数据运营）,15k-25k,3-5年
25,5592108,深圳,深圳市路通网络技术有限公司,"['五险一金', '带薪年假', '节日礼物', '年度旅游']",500-2000人,"移动互联网,游戏",不需要融资,南山区,本科,产品|需求|项目类,3天前发布,数据分析员,10k-15k,1-3年
26,5762588,深圳,深圳晶泰科技有限公司,"['节日礼物', '股票期权', '岗位晋升', '扁平管理']",50-150人,"企业服务,医疗健康",B轮,福田区,硕士,开发|测试|运维类,3天前发布,数据分析师,10k-15k,不限
